Iteration;False Positive
966;98,068
967;98,066
968;98,064
969;98,062004
970;98,06
971;98,058
972;98,056
973;98,054
974;98,052
975;98,049995
976;98,048004
977;98,046
978;98,044
979;98,042
980;98,04
981;98,038
982;98,035995
983;98,034
984;98,032
985;98,03
986;98,028
987;98,026
988;98,024
989;98,022
990;98,02
991;98,018005
992;98,016
993;98,014
994;98,012
995;98,009995
996;98,008
997;98,006
998;98,004
999;98,002
1000;98
1001;97,998
1002;97,996
1003;97,994
1004;97,992004
1005;97,99
1006;97,988
1007;97,986
1008;97,984
1009;97,982
1010;97,979996
1011;97,978004
1012;97,976
1013;97,974
1014;97,972
1015;97,97
1016;97,968
1017;97,965996
1018;97,964005
1019;97,962
1020;97,96
1021;97,958
1022;97,956
1023;97,954
1024;97,952
1025;97,95
1026;97,948006
1027;97,946
1028;97,944
1029;97,942
1030;97,939995
1031;97,938
1032;97,936
1033;97,934
1034;97,932
1035;97,93
1036;97,928
1037;97,926
1038;97,924
1039;97,922
1040;97,92
1041;97,918
1042;97,916
1043;97,914
1044;97,912
1045;97,909996
1046;97,908005
1047;97,906
1048;97,904
1049;97,902
1050;97,899994
1051;97,898
1052;97,895996
1053;97,894
1054;97,892
1055;97,89
1056;97,888
1057;97,886
1058;97,884
1059;97,882
1060;97,88
1061;97,878
1062;97,876
1063;97,874
1064;97,872
1065;97,869995
1066;97,868004
1067;97,866
1068;97,864
1069;97,862
1070;97,86
1071;97,858
1072;97,855995
1073;97,854004
1074;97,852
1075;97,85
1076;97,848
1077;97,846
1078;97,844
1079;97,842
1080;97,84
1081;97,838005
1082;97,836
1083;97,834
1084;97,832
1085;97,829994
1086;97,828
1087;97,826
1088;97,824005
1089;97,822
1090;97,82
1091;97,818
1092;97,816
1093;97,814
1094;97,812004
1095;97,81
1096;97,808
1097;97,806
1098;97,804
1099;97,802
1100;97,799995
1101;97,798004
1102;97,796
1103;97,794
1104;97,792
1105;97,79
1106;97,788
1107;97,785995
1108;97,784004
1109;97,782
1110;97,78
1111;97,778
1112;97,776
1113;97,774
1114;97,772
1115;97,77
1116;97,768005
1117;97,766
1118;97,764
1119;97,762
1120;97,759995
1121;97,758
1122;97,756
1123;97,754
1124;97,752
1125;97,75
1126;97,748
1127;97,746
1128;97,744
1129;97,742
1130;97,74
1131;97,738
1132;97,736
1133;97,734
1134;97,732
1135;97,729996
1136;97,728004
1137;97,726
1138;97,724
1139;97,722
1140;97,71999
1141;97,718
1142;97,715996
1143;97,714005
1144;97,712
1145;97,71
1146;97,708
1147;97,706
1148;97,704
1149;97,702
1150;97,7
1151;97,698
1152;97,696
1153;97,694
1154;97,692
1155;97,689995
1156;97,688
1157;97,686
1158;97,684006
1159;97,682
1160;97,68
1161;97,678
1162;97,676
1163;97,674
1164;97,672
1165;97,67
1166;97,668
1167;97,666
1168;97,664
1169;97,662
1170;97,659996
1171;97,658005
1172;97,656
1173;97,654
1174;97,652
1175;97,649994
1176;97,648
1177;97,645996
1178;97,644005
1179;97,642
1180;97,64
1181;97,638
1182;97,636
1183;97,634
1184;97,632
1185;97,63
1186;97,628
1187;97,626
1188;97,624
1189;97,622
1190;97,619995
1191;97,618004
1192;97,616
1193;97,614
1194;97,612
1195;97,61
1196;97,608
1197;97,605995
1198;97,604004
1199;97,602
1200;97,6
1201;97,598
1202;97,596
1203;97,594
1204;97,592
1205;97,59
1206;97,588005
1207;97,586
1208;97,584
1209;97,582
1210;97,579994
1211;97,578
1212;97,576
1213;97,574005
1214;97,572
1215;97,57
1216;97,568
1217;97,566
1218;97,564
1219;97,562
1220;97,56
1221;97,558
1222;97,556
1223;97,554
1224;97,552
1225;97,549995
1226;97,548004
1227;97,546
1228;97,54401
1229;97,542
1230;97,53999
1231;97,538
1232;97,535995
1233;97,534004
1234;97,532
1235;97,53
1236;97,528
1237;97,526
1238;97,524
1239;97,522
1240;97,52
1241;97,518
1242;97,516
1243;97,514
1244;97,512
1245;97,509995
1246;97,508
1247;97,506
1248;97,504005
1249;97,502
1250;97,5
1251;97,498
1252;97,496
1253;97,494
1254;97,492
1255;97,49
1256;97,488
1257;97,486
1258;97,484
1259;97,482
1260;97,479996
1261;97,478004
1262;97,476
1263;97,474
1264;97,472
1265;97,47
1266;97,468
1267;97,465996
1268;97,464005
1269;97,462
1270;97,46
1271;97,458
1272;97,456
1273;97,454
1274;97,452
1275;97,45
1276;97,448
1277;97,446
1278;97,444
1279;97,442
1280;97,439995
1281;97,438
1282;97,436
1283;97,434006
1284;97,432
1285;97,43
1286;97,428
1287;97,425995
1288;97,424
1289;97,422
1290;97,42
1291;97,418
1292;97,416
1293;97,414
1294;97,412
1295;97,409996
1296;97,408005
1297;97,406
1298;97,404
1299;97,402
1300;97,399994
1301;97,398
1302;97,395996
1303;97,394005
1304;97,392
1305;97,39
1306;97,388
1307;97,386
1308;97,384
1309;97,381996
1310;97,38
1311;97,378
1312;97,376
1313;97,374
1314;97,372
1315;97,369995
1316;97,368004
1317;97,366
1318;97,364006
1319;97,362
1320;97,36
1321;97,358
1322;97,355995
1323;97,354004
1324;97,352
1325;97,35
1326;97,348
1327;97,346
1328;97,344
1329;97,342
1330;97,34
1331;97,338005
1332;97,336
1333;97,334
1334;97,332
1335;97,33
1336;97,328
1337;97,326
1338;97,324005
1339;97,322
1340;97,32
1341;97,318
1342;97,316
1343;97,314
1344;97,312
1345;97,31
1346;97,308
1347;97,306
1348;97,304
1349;97,302
1350;97,299995
1351;97,298004
1352;97,296
1353;97,29401
1354;97,292
1355;97,29
1356;97,288
